Remitente,Diagnostico,Última Modificacion,ID,Grupo Asignado
gguayanlema,CAIDO,calopez,INC000086927144,El Oro - O&M Total
wllumitaxi,CAIDO,wllumitaxi,INC000086926384,Redes Inalámbricas - Móvil Pacífico
mcnaranjo,FALLA AC,mcnaranjo,INC000086925623,El Oro - O&M Total
gguayanlema,caido,calopez,INC000086925429,Energía y Climatización - Región Pacífico
mcnaranjo,FALLA AC,mcnaranjo,INC000086924862,El Oro - O&M Total
basanguano,CAIDO,yacunia,INC000086924009,Redes Inalámbricas - Móvil Pacífico
wllumitaxi,CAIDO,basanguano,INC000086923248,Redes Inalámbricas - Móvil Pacífico
basanguano,CAIDO,basanguano,INC000086923246,Esmeraldas - O&M Total
wllumitaxi,CAIDO,wllumitaxi,INC000086923245,Redes Inalámbricas - Móvil Pacífico
mcnaranjo,FALLA MODULO RECTIFICADOR,mcnaranjo,INC000086923243,Esmeraldas - O&M Total
basanguano,CAIDO,yacunia,INC000086923240,Manabi - O&M Total
palvear,FALLA AC,wllumitaxi,INC000086923238,Redes Inalámbricas - Móvil Pacífico
alucin,falla de ac,svnaranjo,INC000086921768,Manabi - O&M Total
alucin,FALLA DE AC,mcnaranjo,INC000086920956,Energía y Climatización - Región Pacífico
saushay,CAIDO,saushay,INC000086920955,Plataformas de Acceso - Región Pacífico
gayungan,FALLA DE AC,gayungan,INC000086917150,Redes Inalámbricas - Móvil Andina
palvear,CAÍDO,wllumitaxi,INC000086915689,Redes Inalámbricas - Móvil Pacífico
mdpacheco,FALLA AC,mdpacheco,INC000086914111,Tungurahua - O&M Total
mdpacheco,CAIDO,mcnaranjo,INC000086914107,Manabi - O&M Total
saushay,CAIDO,saushay,INC000086914104,Azuay - O&M
saushay,INTERMINTENTE,gguayanlema,INC000086914102,Galápagos - O&M Total
cjimenez,CAIDO,jdgranda,INC000086912584,Redes Inalámbricas - Región Austro
saushay,CAIDO,gguayanlema,INC000086910306,Chimborazo - O&M Total
gayungan,CAIDO,gayungan,INC000086909545,Redes Inalámbricas - Móvil Pacífico
alucin,FALLA DE AC,alucin,INC000086909543,Chimborazo - O&M Total
alucin,INTERMITENTE,mcnaranjo,INC000086909540,Redes Inalámbricas - MW Andina
mdpacheco,FALLA AC,mdpacheco,INC000086909539,Energía y Climatización - Región Pacífico
saushay,CAIDO,gguayanlema,INC000086909536,Pastaza - O&M Total
saushay,CAIDO,gguayanlema,INC000086909532,Telxius
mdpacheco,CAIDO,saushay,INC000086909531,Esmeraldas - O&M Total
cjimenez,CAIDO,cjimenez,INC000086909529,Redes Inalámbricas - Móvil Pacífico
cjimenez,CAIDO,mgranda,INC000086908770,Redes Inalámbricas - Móvil Pacífico
saushay,CAIDO,saushay,INC000086907297,Manabi - O&M Total
cjimenez,CAIDO,palvear,INC000086904973,Redes Inalámbricas - Móvil Pacífico
alucin,FALLA DE AC,alucin,INC000086904963,Sto Domingo - O&M Total
mdpacheco,FALLA AC,mdpacheco,INC000086902686,El Oro - O&M Total
mdpacheco,FALLA AC,mdpacheco,INC000086901926,Unidad de Soporte de Servicios Masivos
cjimenez,FALLA DE AC,cjimenez,INC000086901162,El Oro - O&M Total
palvear,FALLA AC,palvear,INC000086900397,Los Rios - O&M Total
alucin,FALLA DE AC,alucin,INC000086900396,Unidad de Soporte de Servicios Masivos
cjimenez,LOW INPUT,mgranda,INC000086900393,Manabi - O&M Total
alucin,FALLA DE AC,alucin,INC000086900392,Los Rios - O&M Total
mdpacheco,FALLA AC,mdpacheco,INC000086900386,Manabi - O&M Total
palvear,CAÍDO,palvear,INC000086900384,Redes Inalámbricas - Móvil Pacífico
alucin,FALLA DE AC,alucin,INC000086900382,Manabi - O&M Total
mdpacheco,CAIDO,mdpacheco,INC000086900379,Manabi - O&M Total
cjimenez,CAIDO,jdgranda,INC000086900377,Manabi - O&M Total
alucin,FALLA DE AC,alcarvajal,INC000086900376,Energía y Climatización - Región Pacífico
palvear,CAÍDO,palvear,INC000086895809,Redes Inalámbricas - Móvil Pacífico
saushay,CAIDO,yibarra,INC000086895803,Manabi - O&M Total
gayungan,CAIDO,gayungan,INC000086895794,Manabi - O&M Total
saushay,CAIDO,gguayanlema,INC000086895793,Telxius
alucin,falla de ac,alucin,INC000086895780,Manabi - O&M Total
mdpacheco,FALLA AC,mdpacheco,INC000086891957,Los Rios - O&M Total
palvear,CAÍDO,palvear,INC000086891939,Redes Inalámbricas - Región Chimborazo
alucin,FALLA DE AC,alucin,INC000086891933,El Oro - O&M Total
lasifuela,CAIDO,mdpacheco,INC000086891143,Redes Fibra Óptica - Red Troncal Pacífico
mmiranda,FALLA AC,mmiranda,INC000086891113,Orellana - O&M Total
egcadena,FALLA DE AC,mcnaranjo,INC000086887277,Imbabura - O&M Total
lasifuela,CAIDO,lasifuela,INC000086887265,Redes Fibra Óptica - Red Troncal Pacífico
mmiranda,CAIDO,gayungan,INC000086886485,Redes Inalámbricas - Móvil Andina
lasifuela,CAIDO,lasifuela,INC000086886466,Manabi - O&M Total
alcarvajal,alarmas de energía,alucin,INC000086886464,Manabi - O&M Total
egcadena,CAIDO,egcadena,INC000086886453,Los Rios - O&M Total
jdgranda,CAIDO,wllumitaxi,INC000086882588,Redes Inalámbricas - Móvil Pacífico
egcadena,CAIDO,egcadena,INC000086881809,Unidad de Soporte de Servicios Masivos
mmiranda,INTERMITENTE,gayungan,INC000086881781,Redes Inalámbricas - Móvil Andina
mmiranda,FALLA DE AC,mmiranda,INC000086881769,Redes Inalámbricas - Móvil Pacífico
lasifuela,SIN TRAFICO,lasifuela,INC000086879482,Redes Fibra Óptica - Red Troncal Pacífico
jdgranda,CAIDO,jdgranda,INC000086878719,Redes Inalámbricas - Móvil Pacífico
egcadena,PUERTO ALARMADO//SLOT4 PORT 7,egcadena,INC000086877947,Accesos - Zona Integral 3
lasifuela,SIN TRAFICO,pcriollo,INC000086877155,Redes Fibra Óptica - Red Troncal Pacífico
egcadena,PUERTOS PON ALARMADOS,egcadena,INC000086875461,Accesos - Zona Integral 7
amleons,CAIDO,amleons,INC000086872927,Redes Inalámbricas - Móvil Pacífico
jdgranda,CAIDO,jdgranda,INC000086872506,Redes Inalámbricas - Móvil Pacífico
jdgranda,CAIDO,jdgranda,INC000086872491,Redes Inalámbricas - Móvil Pacífico
fomorocho,CAIDO,pcriollo,INC000086872485,Energía y Climatización - Región Pacífico
fomorocho,FALLA AC,alcarvajal,INC000086872478,Los Rios - O&M Total
svnaranjo,CAIDO,svnaranjo,INC000086872476,Redes Inalámbricas - Troncalizado Andina
jdgranda,ALARMA AC,jdgranda,INC000086872475,Los Rios - O&M Total
yacunia,CAIDO,yacunia,INC000086868533,Redes Inalámbricas - Móvil Pacífico
jdgranda,CAIDO,jdgranda,INC000086867858,Redes Inalámbricas - Región Austro
lasifuela,INTERMITENTE,saushay,INC000086867839,Redes Fibra Óptica - Red Troncal Pacífico
svnaranjo,MANTENIMIENTO,svnaranjo,INC000086867837,Redes Inalámbricas - Troncalizado Andina
mmiranda,CAIDO,mmiranda,INC000086866267,Redes Inalámbricas - Móvil Andina
jdgranda,ALARMA AC,jdgranda,INC000086863964,Morona Santiago - O&M
mmiranda,GENERADOR  EN SERVICIO,mmiranda,INC000086863961,Redes Inalámbricas - Móvil Andina
mmiranda,FALLA DE AC,mmiranda,INC000086863190,Redes Inalámbricas - Móvil Andina
fomorocho,FALLA DE AC,egcadena,INC000086863184,Azuay - O&M
alcarvajal,ALARMAS DE ENERGIA,alcarvajal,INC000086863179,Morona Santiago - O&M
fomorocho,CAIDO,egcadena,INC000086862308,Unidad de Soporte de Servicios Masivos
alcarvajal,alarmas de energia,alucin,INC000086858493,Unidad de Soporte de Servicios Masivos
alcarvajal,alarmas de energía,alcarvajal,INC000086858444,Tungurahua - O&M Total
mmiranda,CAIDO,mmiranda,INC000086858442,Redes Inalámbricas - Móvil Andina
lasifuela,CAIDO,pcriollo,INC000086858440,Orellana - O&M Total
afaguirre,FALLA DE AC,mmiranda,INC000086857098,Orellana - O&M Total
wllumitaxi,CAIDO,yacunia,INC000086856865,Redes Inalámbricas - Móvil Andina
atrujillo,Voltaje F1/F2,svnaranjo,INC000086856344,Orellana - O&M Total
wllumitaxi,CAIDO,jdgranda,INC000086853808,Redes Inalámbricas - Móvil Pacífico
atrujillo,CAIDO,svnaranjo,INC000086853807,Redes Inalámbricas - Troncalizado Andina
mcnaranjo,CAÍDO,lasifuela,INC000086853805,Manabi - O&M Total
mcnaranjo,CAÍDO,lasifuela,INC000086852992,Los Rios - O&M Total
wllumitaxi,CAIDO,jdgranda,INC000086849955,Redes Inalámbricas - Móvil Pacífico
wllumitaxi,FALLA AC,jdgranda,INC000086849194,Los Rios - O&M Total
atrujillo,Voltaje F1/F2,egcadena,INC000086849192,Los Rios - O&M Accesos
mcnaranjo,CAÍDO,calopez,INC000086845465,Cotopaxi - O&M Total
mcnaranjo,CAIDO,mgranda,INC000086844635,Los Rios - O&M Total
wllumitaxi,CAIDO,wllumitaxi,INC000086843896,Redes Inalámbricas - Móvil Pacífico
atrujillo,Voltaje F1/F2,atrujillo,INC000086843872,Tungurahua - O&M Total
mcnaranjo,CAIDO,lasifuela,INC000086843871,Santa Elena - O&M Total
afaguirre,caido,afaguirre,INC000086843869,Tungurahua - O&M Total
wllumitaxi,FALLA AC,wllumitaxi,INC000086838561,Santa Elena - O&M Total
wllumitaxi,FALLA AC,wllumitaxi,INC000086838556,Santa Elena - O&M Total
wllumitaxi,FALLA AC,wllumitaxi,INC000086837796,Santa Elena - O&M Total
atrujillo,Voltaje F1/F2,atrujillo,INC000086836278,Manabi - O&M Total
mcnaranjo,CAÍDO,lasifuela,INC000086834001,Los Rios - O&M Total
mcnaranjo,CAÍDO,mcnaranjo,INC000086833239,Telxius
wllumitaxi,FALLA AC,wllumitaxi,INC000086833238,Redes Inalámbricas - Región Austro
wllumitaxi,CAIDO,wllumitaxi,INC000086833232,Redes Inalámbricas - Móvil Pacífico
mcnaranjo,CAÍDO,calopez,INC000086833229,El Oro - O&M Total
afaguirre,caido,afaguirre,INC000086833228,Redes Inalámbricas - Móvil Pacífico
afaguirre,intermitente,mmiranda,INC000086828675,Sto Domingo - O&M Total
atrujillo,Voltaje F1/F2,alcarvajal,INC000086828674,Unidad de Soporte de Servicios Masivos
afaguirre,caido,gayungan,INC000086824882,Redes Inalámbricas - Móvil Andina
afaguirre,CAIDO,afaguirre,INC000086823362,Redes Inalámbricas - Móvil Pacífico
wllumitaxi,CAIDO,jdgranda,INC000086822512,Redes Inalámbricas - Móvil Pacífico
atrujillo,Módulos rectificadores.,alcarvajal,INC000086822510,Los Rios - O&M Total
wllumitaxi,FALLAC AC,jdgranda,INC000086821749,Los Rios - O&M Total
famaldonado,CAIDO,pcriollo,INC000086821747,Galápagos - O&M Total
aortiz,CAIDO,gayungan,INC000086821309,Redes Inalámbricas - Móvil Andina
alucin,CAÍDO,cjimenez,INC000086820985,Manabi - O&M Total
cjimenez,CAIDO,jdgranda,INC000086820225,Redes Inalámbricas - Móvil Pacífico
alucin,BAJO VOLTAJE,pcriollo,INC000086817948,Manabi - O&M Total
cjimenez,CAIDO,cjimenez,INC000086817178,Redes Inalámbricas - Móvil Pacífico
mdpacheco,CAIDO,mcnaranjo,INC000086817177,Manabi - O&M Total
alucin,CAÍDO,yacunia,INC000086814140,Los Rios - O&M Total
cjimenez,CAIDO,jdgranda,INC000086813380,Redes Inalámbricas - Móvil Pacífico
alucin,INTERMITENTE,yacunia,INC000086812778,Redes Inalámbricas - MW Andina
alucin,INTERMITENTE,svnaranjo,INC000086812617,Redes Inalámbricas - MW Andina
mdpacheco,CAIDO,mgranda,INC000086812615,Energía y Climatización - Región Pacífico
mdpacheco,CAIDO,mdpacheco,INC000086812463,Zamora - O&M
famaldonado,CAIDO,pcriollo,INC000086811852,Manabi - O&M Total
alucin,FALLA DE AC,svnaranjo,INC000086811297,Manabi - O&M Total
cjimenez,CAIDO,cjimenez,INC000086811089,Redes Inalámbricas - Móvil Pacífico
mdpacheco,MODULO RTF,mdpacheco,INC000086811088,Energía y Climatización - Región Pacífico
mdpacheco,FALLA AC,mdpacheco,INC000086809568,Energía y Climatización - Región Pacífico
alucin,FALLA DE AC,pcriollo,INC000086809567,Los Rios - O&M Total
cjimenez,FALLA DE AC,cjimenez,INC000086808806,Redes Inalámbricas - Móvil Pacífico
famaldonado,CAIDO,yibarra,INC000086808804,Energía y Climatización - Región Pacífico
cjimenez,CAIDO,cjimenez,INC000086808803,Redes Inalámbricas - Móvil Pacífico
famaldonado,CAIDO,atrujillo,INC000086808043,Manabi - O&M Total
cjimenez,CAIDO,wllumitaxi,INC000086808041,Manabi - O&M Total
alucin,FALLA DE AC,alucin,INC000086805761,Zamora - O&M
mdpacheco,FALLA AC,mdpacheco,INC000086805760,Zamora - O&M
alucin,FALLA DE AC,alucin,INC000086803482,Zamora - O&M
alucin,FALLA DE AC,alucin,INC000086803480,El Oro - O&M Total
aortiz,ENERGÍA,gayungan,INC000086798919,Manabi - O&M Total
cjimenez,CAIDO,cjimenez,INC000086798913,Redes Inalámbricas - Móvil Pacífico
alucin,FALLA DE AC,alucin,INC000086798909,Manabi - O&M Total
mdpacheco,FALLA AC,mdpacheco,INC000086795869,Manabi - O&M Total
aortiz,CAIDO,pcriollo,INC000086795107,Redes Inalámbricas - Móvil Andina
alucin,caído,alucin,INC000086794344,Manabi - O&M Total
inoguera,CAIDO,pcriollo,INC000086794340,Napo - O&M Total
inoguera,CAIDO,inoguera,INC000086794318,Energía y Climatización - Región Pacífico
mdpacheco,CAIDO,yibarra,INC000086794317,Energía y Climatización - Región Pacífico
cjimenez,CAIDO,cjimenez,INC000086794310,Redes Inalámbricas - Móvil Pacífico
inoguera,INTERMITENTE,mdpacheco,INC000086792775,Redes Fibra Óptica - Red Troncal Pacífico
alucin,FALLA DE AC,alucin,INC000086792011,Manabi - O&M Total
aortiz,ENERGIA,pcriollo,INC000086790137,Redes Inalámbricas - Móvil Andina
alucin,BAJO VOLTAJE,alucin,INC000086789691,Manabi - O&M Total
jdgranda,ALARMA AAC,mmiranda,INC000086789654,Sto Domingo - O&M Total
lveintimilla,CAIDO,mgranda,INC000086788841,Sto Domingo - O&M Total
alcarvajal,alarmas de energia,mdpacheco,INC000086787293,Sto Domingo - O&M Total
alcarvajal,caido,yibarra,INC000086785756,El Oro - O&M Total
fomorocho,PROBELMAS DE CONECTIVIDAD,lasifuela,INC000086785754,O3B
jdgranda,CAIDO,jdgranda,INC000086784987,Redes Inalámbricas - Región Chimborazo
alcarvajal,caido,mdpacheco,INC000086784954,Sto Domingo - O&M Total
alcarvajal,alarmas de energia,mdpacheco,INC000086782673,El Oro - O&M Total
jdgranda,CAIDO,mmiranda,INC000086781083,Redes Inalámbricas - Móvil Pacífico
alcarvajal,caido,mdpacheco,INC000086781076,Manabi - O&M Total
gayungan,FALLA DE AC,gayungan,INC000086780307,Redes Inalámbricas - Móvil Pacífico
alcarvajal,alarmas de energia,mgranda,INC000086780276,Sto Domingo - O&M Total
amleons,AC POWER,amleons,INC000086780264,Zamora - O&M
amleons,CAIDO,amleons,INC000086779476,Redes Inalámbricas - Región Austro
amleons,CAIDO,alucin,INC000086778710,Redes Inalámbricas - Móvil Andina
fomorocho,CAIDO,inoguera,INC000086776427,O3B
jdgranda,ALARMA AC,aortiz,INC000086776426,Redes Inalámbricas - Móvil Pacífico
fomorocho,CAIDO,mgranda,INC000086775656,Huawei
gayungan,CAIDO,aortiz,INC000086775655,Redes Inalámbricas - Móvil Andina
fomorocho,CAIDO,inoguera,INC000086775650,Galápagos - O&M Total
rtaco,CANAL 12 ALARMADO,rtaco,INC000086775644,Redes Inalámbricas - Troncalizado Pacífico
jdgranda,ALARMA AC,jdgranda,INC000086771781,Redes Inalámbricas - Móvil Pacífico
gayungan,FALLA DE AC,gayungan,INC000086770990,Redes Inalámbricas - Móvil Pacífico
lveintimilla,FALLA DE AC,lveintimilla,INC000086770901,Tungurahua - O&M Total
lveintimilla,FALLA DE AC,famaldonado,INC000086770888,Manabi - O&M Total
amleons,CAIDO,amleons,INC000086769351,Redes Inalámbricas - Móvil Pacífico
fomorocho,CAIDO,pcriollo,INC000086767033,El Oro - O&M Total
alcarvajal,alarmas de energia,pcriollo,INC000086766982,Energía y Climatización - Región Pacífico
gayungan,FALLA DE AC,gayungan,INC000086766178,Redes Inalámbricas - Móvil Pacífico
alcarvajal,alarmas de energia,pcriollo,INC000086766162,Energía y Climatización - Región Pacífico
amleons,AC POWER,amleons,INC000086766157,Redes Inalámbricas - Región Austro
fomorocho,INTERMITENCIAS,inoguera,INC000086765377,Redes Inalámbricas - MW Pacífico
lveintimilla,CAIDO,pcriollo,INC000086764607,Redes Fibra Óptica - UFO Pacífico
gayungan,FALLA DE AC,gayungan,INC000086763071,Redes Inalámbricas - Móvil Pacífico
fomorocho,INTERMITENCIAS,inoguera,INC000086762686,Redes Inalámbricas - MW Pacífico
gayungan,FALLA DE AC,gayungan,INC000086762278,Bolivar - O&M Total
amleons,SECTORES 3G/4G SIN RADIAR,amleons,INC000086762272,Redes Inalámbricas - Región Austro
rtaco,MANTE PROGRAMADO,mgranda,INC000086761455,Redes Inalámbricas - Troncalizado Andina
gayungan,CAIDO,cjimenez,INC000086761447,Redes Inalámbricas - Móvil Pacífico
lveintimilla,caído,pcriollo,INC000086761396,Energía y Climatización - Región Pacífico
amleons,FALLA AC,amleons,INC000086759099,Redes Inalámbricas - Región Austro
jdgranda,CAIDO,jdgranda,INC000086757541,Redes Inalámbricas - Móvil Andina
fomorocho,CAIDO,fomorocho,INC000086756754,Redes Fibra Óptica - UFO Andina
lveintimilla,CAIDO,lveintimilla,INC000086756702,Energía y Climatización - Región Pacífico
palvear,FALLA AC,pcriollo,INC000086755891,Redes Inalámbricas - Móvil Andina
lasifuela,FALLA AC,lasifuela,INC000086752089,Energía y Climatización - Región Andina
lasifuela,VOLTAJE F1/F2,mdpacheco,INC000086751320,El Oro - O&M Total
afaguirre,caido,afaguirre,INC000086747466,Galápagos - O&M Total
saushay,CAIDO,fomorocho,INC000086741396,Energía y Climatización - Región Pacífico
afaguirre,CAIDO,pcriollo,INC000086741395,Redes Inalámbricas - Móvil Pacífico
afaguirre,CAIDO,gayungan,INC000086741105,Redes Inalámbricas - Móvil Pacífico
afaguirre,FALLA DE AC,gayungan,INC000086740633,Redes Inalámbricas - Móvil Pacífico
afaguirre,caido,gayungan,INC000086738356,Los Rios - O&M Total
lasifuela,VOLTAJE F1/F2,pcriollo,INC000086736838,Energía y Climatización - Región Pacífico
afaguirre,caido,amleons,INC000086734562,Cotopaxi - O&M Total
lasifuela,FALLA AC,pcriollo,INC000086726980,Energía y Climatización - Región Pacífico
lasifuela,CAIDO,mgranda,INC000086726242,Unidad de Soporte de Servicios Masivos
lasifuela,CAIDO,mgranda,INC000086723944,Energía y Climatización - Región Pacífico
afaguirre,caido,afaguirre,INC000086721665,Redes Inalámbricas - Móvil Pacífico
lasifuela,CAIDO,mdpacheco,INC000086721664,Los Rios - O&M Total
palvear,SECTORES SIN RADIAR,gguayanlema,INC000086721396,Redes Inalámbricas - Móvil Pacífico
inoguera,caido,pcriollo,INC000086719300,Manabi - O&M Total
famaldonado,CAIDO,fomorocho,INC000086719298,LOJA - O&M Total
alucin,CAIDO,alucin,INC000086719296,Redes Inalámbricas - Troncalizado Pacífico
alucin,caído,amleons,INC000086719294,LOJA - O&M Total
famaldonado,CAIDO,fomorocho,INC000086719290,Redes Inalámbricas - MW Andina
cjimenez,CAIDO,jdgranda,INC000086719287,Redes Inalámbricas - Móvil Andina
alucin,BAJO VOLTAJE,mgranda,INC000086719286,Galápagos - O&M Total
cjimenez,CAIDO,jdgranda,INC000086713976,Redes Inalámbricas - Región Chimborazo
famaldonado,CAIDO,yibarra,INC000086713974,Cotopaxi - O&M Total
famaldonado,CAIDO,yibarra,INC000086711698,Cotopaxi - O&M Total
mdpacheco,CAIDO,yibarra,INC000086710179,Cotopaxi - O&M Total
alucin,CAÍDO,alucin,INC000086709418,Redes Inalámbricas - Región Chimborazo
alucin,FALLA DE AC,amleons,INC000086709415,Cotopaxi - O&M Total
inoguera,CAIDO,pcriollo,INC000086708655,Cotopaxi - O&M Total
inoguera,VOLTAJE F1F2 Y MÓDULOS RTF,pcriollo,INC000086708653,Cotopaxi - O&M Total
mdpacheco,FALLA AC,lveintimilla,INC000086708651,Unidad de Soporte de Servicios Masivos
alucin,FALLA DE AC,amleons,INC000086708645,LOJA - O&M Total
aortiz,CAIDO,gayungan,INC000086707884,Redes Inalámbricas - Móvil Pacífico
cjimenez,CAIDO,cjimenez,INC000086707883,Redes Inalámbricas - Móvil Andina
mdpacheco,ALARMADO,mgranda,INC000086706664,Redes Fibra Óptica - Red Troncal Andina
alucin,CAÍDO,alucin,INC000086704846,Redes Inalámbricas - Móvil Andina
alucin,RUTA ALARMADA,alucin,INC000086704086,Redes Inalámbricas - Troncalizado Andina
aortiz,ENERGÍA,gayungan,INC000086703322,Manabi - O&M Total
mdpacheco,CAIDO,yibarra,INC000086703318,Unidad de Soporte de Servicios Masivos
famaldonado,INTERMITENCIAS,gguayanlema,INC000086702867,Redes Fibra Óptica - Red Troncal Pacífico
alucin,FALLA DE AC,alucin,INC000086698002,Manabi - O&M Total
alucin,CAÍDO,alucin,INC000086697999,Redes Inalámbricas - Troncalizado Pacífico
alucin,FALLA DE AC,rtaco,INC000086697990,El Oro - O&M Total
mdpacheco,FALLA AC,lveintimilla,INC000086697989,Unidad de Soporte de Servicios Masivos
cjimenez,FALLA DE AC,pcriollo,INC000086696471,Redes Inalámbricas - Móvil Andina
famaldonado,CAIDO,fomorocho,INC000086692678,Huawei
cjimenez,FALLA DE AC,cjimenez,INC000086692675,Sto Domingo - O&M Total
alucin,falla de ac,alucin,INC000086689635,Santa Elena - O&M Total
famaldonado,INTERMITENTE,famaldonado,INC000086688115,O3B
alucin,FALLA DE AC,alucin,INC000086688113,Morona Santiago - O&M
alucin,FALLA DE AC,alucin,INC000086687353,Sto Domingo - O&M Total
cjimenez,CAIDO,cjimenez,INC000086687348,Redes Inalámbricas - Móvil Pacífico
cjimenez,FALLA DE AC,cjimenez,INC000086687346,Redes Inalámbricas - Móvil Pacífico
aortiz,CAIDO,gayungan,INC000086685824,Redes Inalámbricas - Móvil Pacífico
famaldonado,CAIDO,mgranda,INC000086685823,Energía y Climatización - Región Pacífico
famaldonado,CAIDO,yibarra,INC000086682024,Energía y Climatización - Región Pacífico
alucin,CAÍDO,mgranda,INC000086682016,Redes Inalámbricas - Troncalizado Pacífico
gayungan,CAIDO,cjimenez,INC000086678976,Redes Inalámbricas - Región Chimborazo
jdgranda,CAIDO,aortiz,INC000086678216,Redes Inalámbricas - Móvil Pacífico
lveintimilla,falla de ac,inoguera,INC000086677452,Cotopaxi - O&M Total
jdgranda,ALARMA AC,aortiz,INC000086676689,Redes Inalámbricas - Móvil Pacífico
lveintimilla,CAIDO,yibarra,INC000086676686,Energía y Climatización - Región Pacífico
gayungan,CAIDO,cjimenez,INC000086672131,Redes Inalámbricas - Móvil Andina
rtaco,CAIDO,yibarra,INC000086671364,Huawei
jdgranda,CAIDO,aortiz,INC000086671358,Redes Inalámbricas - Móvil Pacífico
fomorocho,Falla AC,fomorocho,INC000086671354,Redes Inalámbricas - Región Austro
fomorocho,CAIDO,alucin,INC000086670593,Morona Santiago - O&M
jdgranda,ALARMA AC,jdgranda,INC000086670584,Redes Inalámbricas - Región Chimborazo
alcarvajal,alarmas de energía,pcriollo,INC000086669072,Santa Elena - O&M Total
fomorocho,FALLA AC,alucin,INC000086669070,Morona Santiago - O&M
alcarvajal,caido,pcriollo,INC000086669068,Huawei
fomorocho,FALLA AC,fomorocho,INC000086667548,Chimborazo - O&M Total
lveintimilla,CAIDO,yibarra,INC000086666785,El Oro - O&M Total
rtaco,CAIDO,stc,INC000086666025,Huawei
rtaco,CAIDO,yibarra,INC000086663742,Energía y Climatización - Región Pacífico
jdgranda,CAIDO,mgranda,INC000086660703,Redes Inalámbricas - Móvil Pacífico
lveintimilla,caido,yibarra,INC000086660702,Manabi - O&M Total
alcarvajal,caido,lveintimilla,INC000086660696,Sucumbios - O&M Total
jdgranda,ALARMA AC,jdgranda,INC000086659936,Los Rios - O&M Total
gayungan,CAIDO,gayungan,INC000086656136,Redes Inalámbricas - Móvil Andina
fomorocho,CAIDO,fomorocho,INC000086655374,Redes Inalámbricas - Móvil Pacífico
jdgranda,CAIDO,jdgranda,INC000086655369,Redes Inalámbricas - Móvil Pacífico
rtaco,CAIDO,yibarra,INC000086655368,Los Rios - O&M Total
gayungan,FALLA DE AC,gayungan,INC000086655363,Redes Inalámbricas - Móvil Andina
lveintimilla,CAIDO,yibarra,INC000086655355,El Oro - O&M Total
fomorocho,FALLA AC,fomorocho,INC000086655354,Santa Elena - O&M Total
jdgranda,ALARMA AC,jdgranda,INC000086655353,Santa Elena - O&M Total
gayungan,CAIDO,gayungan,INC000086651559,Redes Inalámbricas - Móvil Pacífico
gayungan,CAIDO,mgranda,INC000086650973,Redes Inalámbricas - Móvil Pacífico
jdgranda,LOCAL CELL 1,2,jdgranda,INC000086650033,Redes Inalámbricas - Móvil Pacífico
gayungan,CAIDO,gayungan,INC000086645475,Redes Inalámbricas - Móvil Andina
rtaco,CAIDO,pcriollo,INC000086644714,Morona Santiago - O&M
alcarvajal,ALARMAS DE ENERGÍA,pcriollo,INC000086644713,Energía y Climatización - Región Andina
lveintimilla,FALLA DE AC,lveintimilla,INC000086644709,Energía y Climatización - Región Andina
gayungan,FALLA DE AC,gayungan,INC000086641673,Redes Inalámbricas - Móvil Andina
lasifuela,SLOT 2 ALARMADO,pcriollo,INC000086640860,Plataformas de Acceso - Región Pacífico
alcarvajal,puertos alarmados,egcadena,INC000086640152,Santa Elena - O&M Total
rtaco,CAIDO,yibarra,INC000086639334,Huawei
lasifuela,CAIDO,pcriollo,INC000086639331,Bolivar - O&M Total
lasifuela,VOLTAJE F1/F2,lasifuela,INC000086637811,Santa Elena - O&M Total
afaguirre,caido,jdgranda,INC000086634011,Redes Inalámbricas - Móvil Pacífico
saushay,CAIDO,pcriollo,INC000086634007,El Oro - O&M Total
afaguirre,falla de ac,pcriollo,INC000086634006,Zamora - O&M
lasifuela,VOLTAJE F1/F2,lasifuela,INC000086634005,Zamora - O&M
palvear,CAÍDO,gayungan,INC000086628694,Redes Inalámbricas - Móvil Pacífico
afaguirre,caido,gayungan,INC000086623386,Redes Inalámbricas - Móvil Pacífico
palvear,CAÍDO,jdgranda,INC000086618073,Redes Inalámbricas - Móvil Pacífico
saushay,CAIDO,yibarra,INC000086618071,Energía y Climatización - Región Pacífico
afaguirre,caido,jdgranda,INC000086618068,LOJA - O&M Total
saushay,CAIDO,yibarra,INC000086618067,LOJA - O&M Total
lasifuela,CAIDO,mdpacheco,INC000086615033,Los Rios - O&M Total
lasifuela,VOLTAJE F1/F2,lveintimilla,INC000086613514,Energía y Climatización - Región Pacífico
saushay,CAIDO,yibarra,INC000086608206,Huawei
palvear,CAÍDO,jdgranda,INC000086608204,Redes Inalámbricas - Móvil Pacífico
gguayanlema,CAIDO,yibarra,INC000086604357,Energía y Climatización - Región Pacífico
yacunia,CAIDO,jdgranda,INC000086604353,Redes Inalámbricas - Móvil Pacífico
basanguano,FALLA AC,yacunia,INC000086604352,Redes Inalámbricas - Móvil Pacífico
yacunia,CAIDO,pcriollo,INC000086604351,Redes Inalámbricas - Móvil Pacífico
gguayanlema,CAIDO,pcriollo,INC000086604350,Energía y Climatización - Región Pacífico
basanguano,FALLA AC,pcriollo,INC000086599800,LOJA - O&M Total
egcadena,FALLA DE AC,pcriollo,INC000086599798,Santa Elena - O&M Total
