Remitente,Diagnostico,Última Modificacion,ID,Grupo Asignado
atrujillo,SLOT02/PUERTOS 2, 3, 4 Y10 CAIDOS,egcadena,INC000087195262,Accesos - Zona Integral 7
wllumitaxi,FALLA AC,yacunia,INC000087194727,Redes Inalámbricas - Móvil Pacífico
rtaco,CAIDO,mcnaranjo,INC000087192982,Redes Inalámbricas - Troncalizado Andina
rtaco,FALLA AC,rtaco,INC000087186907,Manabi - O&M Total
rtaco,RUTA 1 DOWN,mcnaranjo,INC000087186903,Redes Inalámbricas - Troncalizado Andina
svnaranjo,CAIDO,gguayanlema,INC000087182332,Energía y Climatización - Región Pacífico
wllumitaxi,CAIDO,mgranda,INC000087182328,Redes Inalámbricas - Móvil Pacífico
svnaranjo,CAIDO,yibarra,INC000087182325,Energía y Climatización - Región Pacífico
wllumitaxi,CAIDO,yacunia,INC000087182323,Redes Inalámbricas - Móvil Pacífico
rtaco,FALLA AC,mcnaranjo,INC000087180801,Sto Domingo - O&M Total
svnaranjo,CAIDO,yibarra,INC000087180800,Santa Elena - O&M Total
wllumitaxi,CAIDO,wllumitaxi,INC000087177002,Redes Inalámbricas - Móvil Pacífico
atrujillo,CAIDO,yibarra,INC000087176994,Sto Domingo - O&M Total
palvear,CAÍDO,palvear,INC000087174560,Redes Inalámbricas - Móvil Andina
atrujillo,Falla AC.,atrujillo,INC000087170140,Sto Domingo - O&M Total
wllumitaxi,SECTOR 3 SIN RADIAR,wllumitaxi,INC000087167104,Redes Inalámbricas - Móvil Pacífico
palvear,CAÍDO,palvear,INC000087166342,Redes Inalámbricas - Móvil Andina
wllumitaxi,FALLA AC,wllumitaxi,INC000087166340,Sto Domingo - O&M Total
palvear,FALLA AC,palvear,INC000087166338,Napo - O&M Total
inoguera,FALLA DE AC,atrujillo,INC000087166333,Sto Domingo - O&M Total
inoguera,FALLA DE AC,wllumitaxi,INC000087166330,Sto Domingo - O&M Total
inoguera,VOLTAJE F1F2,rtaco,INC000087166125,Sto Domingo - O&M Total
inoguera,VOLTAJE F1F2,mcnaranjo,INC000087164809,Cotopaxi - O&M Total
aortiz,ENERGÍA,palvear,INC000087164049,Sto Domingo - O&M Total
lveintimilla,CAIDO,yibarra,INC000087161013,Energía y Climatización - Región Pacífico
inoguera,SIN GESTION RF SITE,mdpacheco,INC000087161012,Redes Inalámbricas - Troncalizado Andina
aortiz,CAIDO,palvear,INC000087155657,Redes Inalámbricas - Región Austro
aortiz,CAIDO,aortiz,INC000087135185,Redes Inalámbricas - Móvil Pacífico
aortiz,CAIDO,aortiz,INC000087135183,Redes Inalámbricas - Móvil Pacífico
lveintimilla,CAIDO,yibarra,INC000087135180,Energía y Climatización - Región Pacífico
aortiz,CAIDO,aortiz,INC000087134418,Redes Inalámbricas - Móvil Pacífico
lveintimilla,CAIDO,amleons,INC000087130625,Energía y Climatización - Región Pacífico
aortiz,CAIDO,wllumitaxi,INC000087129106,Redes Inalámbricas - Región Austro
inoguera,FALLA DE AC,inoguera,INC000087129104,Sto Domingo - O&M Total
inoguera,MÓDULOS RTF,inoguera,INC000087128298,Energía y Climatización - Región Pacífico
aortiz,ENERGÍA,aortiz,INC000087127537,Redes Inalámbricas - Móvil Pacífico
mcnaranjo,INTERMITENTE,inoguera,INC000087124489,Redes Inalámbricas - MW Andina
basanguano,FALLA AC,basanguano,INC000087117655,Morona Santiago - O&M
yacunia,SECTOR SIN RADIAR,yacunia,INC000087117654,Redes Inalámbricas - Móvil Andina
yacunia,Falla AC.,yacunia,INC000087116893,Redes Inalámbricas - Móvil Pacífico
gguayanlema,CAIDO,lveintimilla,INC000087113098,Telxius
gguayanlema,CAIDO,yibarra,INC000087110821,Energía y Climatización - Región Pacífico
mcnaranjo,FALLA MODULO RECITIFCADOR,mcnaranjo,INC000087107783,Cotopaxi - O&M Total
yacunia,INTERMITENTE,afaguirre,INC000087098674,Redes Inalámbricas - Móvil Andina
gguayanlema,CAIDO,saushay,INC000087098670,Imbabura - O&M Total
basanguano,CAIDO,basanguano,INC000087097901,Redes Inalámbricas - Móvil Pacífico
egcadena,FALLA DE AC,egcadena,INC000087097899,Manabi - O&M Total
mcnaranjo,FALLA AC,mcnaranjo,INC000087097898,Energía y Climatización - Región Pacífico
basanguano,CAIDO,wllumitaxi,INC000087094104,Redes Inalámbricas - Móvil Pacífico
gguayanlema,CAIDO,yibarra,INC000087093341,Energía y Climatización - Región Pacífico
basanguano,CAIDO,basanguano,INC000087093339,Redes Inalámbricas - Móvil Pacífico
egcadena,CAIDO,yibarra,INC000087093336,Energía y Climatización - Región Pacífico
gguayanlema,CAIDO,yibarra,INC000087093334,Energía y Climatización - Región Pacífico
yacunia,Falla AC.,yacunia,INC000087093332,LOJA - O&M Total
wllumitaxi,CAIDO,basanguano,INC000087093325,Redes Inalámbricas - Móvil Pacífico
svnaranjo,FALLA DE AC,egcadena,INC000087093322,LOJA - O&M Total
rtaco,CAIDO,yibarra,INC000087092560,Energía y Climatización - Región Pacífico
atrujillo,Voltaje F1/F2,atrujillo,INC000087089522,El Oro - O&M Total
